carat,price,x,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
1.1,4733,6.61,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1.29,6424,6.96,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1.2,5510,6.88,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1.5,8770,7.43,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
0.9,4493,6.17,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
0.32,918,4.39,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0.3,789,4.26,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
0.61,2823,5.51,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2.01,18705,8.08,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0.31,507,4.37,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
0.64,1880,5.54,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.41,935,4.75,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.52,1872,5.16,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0.3,956,4.34,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1.01,3111,6.37,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2.01,16499,8.12,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0.32,954,4.42,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1.51,8342,7.4,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
2.5,8711,8.55,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.7,2567,5.66,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.34,555,4.5,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1.7,18445,7.67,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1.2,8486,6.83,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0.35,984,4.49,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.36,858,4.68,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
0.56,2066,5.32,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0.27,464,4.15,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0.33,1052,4.47,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0.38,733,4.66,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.5,1068,5.01,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
1.21,5461,6.82,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0.33,492,4.39,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
